method,sequence,accuracy,recall,fps,reinit,frames
tracker,fernando,0.637689,0.612711,16.2222,31,292
tracker,fernando,0.602455,0.591152,17.1765,57,292
tracker,fernando,0.596885,0.601491,15.3684,18,292
tracker,fernando,0.595163,0.540333,19.4667,62,292
tracker,fernando,0.600861,0.582057,17.1765,57,292
tracker,fernando,0.677363,0.648713,14.6,26,292
tracker,fernando,0.5556,0.53985,18.25,63,292
tracker,fernando,0.590376,0.548867,18.25,65,292
tracker,fernando,0.598968,0.578363,18.25,61,292
tracker,fernando,0.630501,0.568538,17.1765,33,292
tracker,fernando,0.619268,0.621201,15.3684,32,292
tracker,fernando,0.591472,0.579106,17.1765,54,292
tracker,fernando,0.628063,0.648632,14.6,30,292
pmmh,fish1,0.513751,0.476833,5.71875,17,366
pmmh,fish1,0.612001,0.530318,6,13,366
pmmh,fish1,0.631534,0.520457,6.20339,12,366
pmmh,fish1,0.570121,0.542394,5.15493,15,366
pmmh,fish1,0.600258,0.477084,6.1,13,366
pmmh,fish1,0.526802,0.490909,5.54545,13,366
pmmh,fish1,0.541046,0.514578,6,13,366
pmmh,fish1,0.567596,0.49203,5.80952,17,366
pmmh,fish1,0.602346,0.541888,5.71875,10,366
pmmh,fish1,0.599394,0.509823,6.1,9,366
pmmh,fish1,0.611058,0.532702,5.71875,11,366
pmmh,fish1,0.593422,0.475706,6.20339,13,366
